LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA34570,0,0,3,3,0,0,0,8,0,18,0,3,0,8,0,0,0,0,3,13,3,14,4,13,6,0,3,5,3,51,4,3,8,6,4,0,3,7,7,37,5,3,0,6,3,0,3,14,0,36,0,10,3,7,0,0,0,6,0,23,0,0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,19,39,11,4,12,45,21,189
LGA34580,29,17,154,135,65,343,26,278,16,1064,97,107,299,199,138,165,78,402,16,1516,341,378,508,260,285,176,285,685,46,2962,394,460,509,329,400,205,347,435,51,3129,528,477,484,397,504,253,438,546,49,3678,387,325,336,293,332,145,346,418,30,2615,176,74,66,49,83,41,92,76,20,678,44,10,3,3,7,5,7,12,7,105,0,0,0,0,3,0,3,0,3,11,2010,1855,2366,1668,1813,1338,1615,2855,245,15762
LGA34590,126,141,1141,1088,455,2765,411,1716,148,7988,595,1082,2711,1783,1540,2039,1253,2153,237,13396,2418,4629,5523,3038,4337,2312,3097,3597,535,29499,3386,4862,4795,3117,4683,2005,3207,3277,582,29919,3117,3727,4066,3000,4759,1949,3537,3354,499,27993,2001,2414,2786,1919,3276,1430,2503,2384,293,19010,454,525,472,326,641,321,561,475,87,3868,32,38,30,19,44,25,16,39,23,260,3,3,3,3,0,0,0,0,10,28,12127,17417,21527,14291,19730,12840,14597,17001,2417,131955
LGA34710,0,0,34,30,17,42,0,19,3,149,6,35,36,24,19,23,10,27,0,168,44,76,65,42,40,16,18,44,5,344,57,67,30,44,55,20,23,37,5,338,103,60,40,34,55,24,31,48,11,411,102,56,37,25,47,31,27,54,4,385,35,9,11,4,14,4,10,17,7,109,18,0,3,0,0,0,0,0,3,25,4,0,0,0,0,0,0,0,0,3,370,305,254,206,244,155,122,251,41,1938
LGA34770,44,66,569,448,167,1166,96,629,43,3233,158,495,1272,558,448,607,350,554,66,4512,817,2002,2871,943,1262,733,1275,956,160,11025,1283,1810,2369,948,1436,756,1454,987,197,11233,1560,1763,2029,1001,1734,865,1990,1226,203,12384,1144,1180,1206,646,1105,632,1397,963,140,8410,390,203,190,104,162,102,219,231,56,1665,110,14,10,4,12,12,11,27,27,237,7,3,3,0,7,3,0,0,11,27,5523,7538,10525,4659,6338,4875,6802,5563,894,52732
LGA34800,0,0,3,3,3,0,0,6,0,12,0,7,7,3,3,3,0,16,0,42,25,12,16,4,13,3,6,24,3,107,41,4,13,6,7,3,11,14,0,110,29,6,15,8,12,0,14,11,4,95,36,3,3,7,4,3,14,15,3,88,18,0,0,0,0,4,0,4,0,32,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,158,43,53,25,39,17,55,87,12,490
LGA34830,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,10,3,3,3,3,3,0,3,0,0,12,0,3,0,0,5,0,0,0,0,13,0,0,3,0,3,0,0,3,0,16,5,3,3,0,3,0,4,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,8,14,4,4,7,0,82
LGA34860,6,7,76,43,28,88,13,88,3,354,29,62,119,64,60,58,33,115,10,554,203,286,265,123,171,91,136,138,9,1421,264,175,145,107,186,80,112,152,15,1235,373,144,127,117,167,72,154,154,13,1319,301,109,97,74,112,40,104,137,22,997,179,22,19,16,30,20,24,39,7,355,84,0,3,0,4,3,3,4,5,107,16,0,0,0,0,0,0,0,0,20,1452,794,841,541,762,454,587,823,93,6356
LGA34880,9,6,70,75,19,163,13,110,9,474,53,36,108,65,44,61,25,160,4,556,162,193,230,161,119,66,82,281,17,1304,270,251,239,224,214,100,99,209,28,1636,360,292,270,260,304,148,174,251,44,2106,323,247,185,186,187,105,148,223,21,1641,148,57,33,23,41,43,35,73,15,475,47,8,3,8,8,4,3,9,3,83,5,0,0,0,0,0,0,0,0,8,1374,1097,1136,1010,935,693,578,1321,146,8284
LGA35010,191,246,1555,2075,723,4543,382,2601,235,12537,918,1480,3631,3058,2097,2799,991,2559,316,17835,3600,6498,7232,4505,5577,2998,2642,3910,621,37579,5667,9140,6788,4859,6920,2962,3012,3649,730,43727,6041,7899,5853,4951,7736,3278,3439,4040,657,43897,3271,4847,3576,3088,4896,2192,2576,2962,346,27753,736,972,602,475,947,579,533,658,148,5648,70,75,43,27,51,42,24,52,63,443,4,8,9,6,10,0,4,0,18,58,20505,31158,29278,23030,28947,19409,13599,20435,3131,189495
LGA35250,0,0,3,4,0,3,0,5,3,19,0,6,6,10,3,0,0,6,0,29,5,20,12,25,3,3,3,5,0,81,10,5,7,20,6,0,4,10,3,68,3,12,3,17,8,3,4,8,0,60,5,11,3,12,3,0,3,3,0,35,0,3,6,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,56,45,87,27,16,14,42,5,314
LGA35300,3,3,90,56,38,176,17,108,7,509,27,157,242,119,92,93,106,106,11,952,166,531,631,235,228,127,411,153,40,2526,173,312,443,184,229,97,312,143,39,1920,198,267,367,190,219,85,336,154,45,1855,113,129,213,73,123,63,203,132,21,1062,29,30,30,25,33,13,49,33,4,246,4,0,4,0,3,0,3,10,0,24,0,0,0,0,0,0,0,0,0,0,708,1439,2026,882,958,651,1437,836,170,9108
LGA35600,0,3,15,17,3,33,0,36,0,112,3,34,25,25,10,22,5,60,3,187,50,86,52,43,41,14,26,90,9,403,93,50,45,42,50,19,25,65,3,391,113,49,52,48,49,23,22,71,11,435,102,49,40,42,41,25,37,62,4,398,35,4,9,6,8,5,11,19,7,99,12,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,402,280,241,218,201,143,123,406,33,2046
LGA35670,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,7,0,23,0,5,11,3,0,4,6,3,0,40,4,4,4,8,0,0,11,3,0,38,3,5,6,9,3,0,7,4,0,38,0,0,5,0,3,0,3,3,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,32,22,10,3,35,22,4,153
LGA35740,16,20,183,308,55,460,24,299,16,1381,61,82,280,269,105,215,41,214,23,1288,303,491,637,425,294,239,128,291,30,2842,686,1015,803,546,513,375,191,411,83,4611,894,1256,860,709,727,568,254,575,83,5924,692,960,556,470,622,471,246,498,68,4579,254,292,90,68,175,166,66,109,29,1247,28,30,11,7,14,12,3,7,12,126,5,0,3,0,0,0,0,0,0,10,2935,4148,3407,2792,2509,2503,956,2404,347,22007
LGA35760,10,0,42,27,12,54,5,74,7,238,14,17,38,27,26,24,21,115,4,282,106,82,66,48,57,33,68,231,17,706,173,81,81,68,76,48,76,142,17,765,271,91,81,103,99,45,101,189,20,1012,227,81,68,89,89,44,87,167,11,857,193,23,14,14,22,15,24,46,10,367,71,0,0,0,0,3,0,3,3,91,14,0,0,0,0,0,0,0,0,11,1081,370,402,388,384,272,384,962,95,4334
LGA35780,6,0,7,3,5,15,3,15,3,59,0,9,9,23,13,8,9,21,3,88,24,24,25,49,32,10,17,25,3,200,12,23,30,37,20,11,12,14,0,171,28,35,10,22,22,5,9,22,0,157,18,17,15,20,9,10,3,13,0,111,0,3,0,0,3,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,112,96,161,101,57,57,109,18,804
LGA35790,3,3,0,6,4,3,0,0,3,27,3,0,0,21,4,0,0,3,0,34,3,25,12,37,12,0,3,6,0,98,3,14,8,25,20,7,0,19,3,100,9,28,13,37,7,0,11,22,4,131,7,13,6,29,8,3,3,13,3,77,0,3,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,85,49,155,55,16,22,73,15,487
LGA35800,0,0,5,3,0,3,0,3,0,22,5,13,3,4,8,6,3,12,0,51,28,21,15,12,17,3,11,25,3,136,31,16,13,12,10,7,9,12,5,115,56,21,10,15,18,3,9,28,3,160,73,19,13,15,18,6,11,14,3,172,36,3,6,0,3,4,3,4,0,60,14,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,247,82,72,70,71,31,43,92,16,720
LGA36070,0,0,10,3,0,0,0,3,0,13,0,4,3,11,0,0,0,3,0,22,3,5,3,9,5,0,3,9,0,37,6,5,5,9,9,3,5,8,0,55,7,9,3,10,4,3,4,10,3,50,7,0,0,5,0,0,0,3,0,20,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,22,49,14,13,13,30,5,212
LGA36150,0,0,9,0,0,0,0,12,3,19,0,4,8,7,0,0,3,14,0,44,6,13,15,13,11,7,15,28,0,104,23,5,9,9,15,3,5,9,3,70,33,8,10,13,10,5,14,9,0,108,26,8,0,3,7,3,10,10,0,80,14,0,0,0,7,0,4,3,3,27,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,115,41,51,43,47,18,51,78,15,452
LGA36250,74,95,602,939,278,1652,172,920,59,4798,287,624,1364,1051,761,937,338,769,78,6212,1264,2307,2619,1245,1913,936,738,1145,196,12359,2202,3101,2316,1402,2427,1015,914,1177,260,14820,2759,3193,2325,1652,3196,1254,1094,1389,186,17051,1714,2192,1641,1157,2193,1001,947,1146,150,12136,363,482,285,205,411,230,204,288,64,2530,44,38,20,12,29,24,8,24,26,220,4,5,3,0,0,3,0,3,11,33,8723,12036,11172,7656,11209,7051,4418,6871,1034,70168
LGA36300,0,0,3,0,3,3,0,13,0,21,4,4,12,3,0,0,3,16,3,43,29,15,12,8,11,6,10,12,6,108,21,7,4,0,3,3,5,9,0,57,23,10,3,12,7,0,7,12,3,81,30,7,12,4,12,3,9,14,0,89,7,0,0,0,0,0,0,10,0,25,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,116,42,45,26,40,21,39,88,16,434
LGA36370,15,41,287,413,122,954,61,480,26,2409,141,410,794,581,385,534,179,495,50,3569,570,1485,1599,915,996,578,671,882,112,7812,667,1326,1116,769,948,417,650,876,84,6867,825,1222,1042,877,1103,508,795,811,109,7296,605,851,705,587,803,321,598,633,57,5170,197,164,106,85,135,81,128,131,15,1039,59,8,8,8,10,10,9,18,12,139,9,0,0,0,0,0,0,0,3,19,3101,5517,5657,4249,4510,3404,3093,4335,464,34314
LGA36510,10,15,162,214,48,294,20,277,14,1064,65,76,267,189,104,125,74,245,12,1165,247,348,499,228,274,151,189,354,38,2329,544,584,612,381,491,205,269,404,52,3540,690,681,642,477,586,270,389,524,49,4312,584,518,430,319,449,232,269,447,40,3289,312,185,100,67,99,73,80,110,21,1035,93,24,9,3,15,7,7,15,13,182,13,0,0,0,0,0,0,0,0,18,2564,2428,2725,1873,2058,1361,1299,2380,245,16926
LGA36580,10,3,93,79,27,147,13,160,12,538,34,43,148,90,41,101,41,165,6,671,138,195,307,162,157,95,140,369,17,1589,245,244,300,216,245,127,188,301,24,1896,327,273,276,258,282,122,284,324,44,2192,332,219,209,195,215,119,229,262,26,1797,154,45,44,27,51,29,61,65,19,498,37,9,3,0,4,4,3,4,10,66,4,0,0,0,3,0,0,0,0,11,1287,1022,1382,1036,1028,740,960,1650,158,9270
LGA36630,11,11,115,83,29,272,18,217,18,774,45,85,184,112,73,132,51,239,12,934,175,335,329,217,179,127,166,342,26,1893,306,333,305,320,246,131,234,327,44,2246,467,343,347,356,298,195,285,418,38,2742,436,326,266,264,257,133,227,282,24,2206,265,82,59,27,62,40,63,74,38,703,87,6,9,4,8,3,7,15,14,152,11,0,0,0,0,0,0,0,0,11,1797,1514,1610,1373,1155,1033,1053,1906,214,11656
LGA36660,33,14,163,148,43,301,22,284,24,1024,76,80,224,136,76,168,69,263,15,1109,244,278,359,222,207,176,177,452,30,2140,401,375,364,254,343,186,210,443,43,2633,545,476,377,385,409,218,319,512,36,3276,526,400,304,299,343,178,297,445,54,2841,312,95,70,54,75,63,80,106,22,877,101,4,5,0,9,13,3,13,7,165,15,3,0,0,0,0,0,0,5,29,2247,1730,1867,1501,1511,1309,1179,2510,241,14094
LGA36720,118,163,1033,1640,410,3024,199,1798,126,8514,554,997,2225,1995,1076,1860,415,1420,147,10681,2197,4811,4971,2895,2599,2028,1102,2203,313,23125,3846,6567,4885,3042,3782,2143,1350,2312,461,28396,4379,6727,4500,3433,4788,2672,1714,2755,417,31378,2969,4379,2850,2284,3328,2061,1379,2331,294,21866,908,1059,477,361,711,597,348,524,111,5097,130,99,33,25,38,38,32,58,51,502,19,13,6,0,3,3,0,6,24,72,15113,24815,20976,15682,16740,14425,6546,13400,1946,129641
LGA36820,12,13,97,91,25,226,13,167,3,647,40,43,135,86,45,78,28,151,8,609,162,239,247,147,151,104,102,186,21,1358,264,322,252,241,210,115,137,195,18,1768,415,387,271,297,313,151,203,280,27,2349,369,369,246,243,245,165,176,282,31,2137,198,93,60,45,77,49,61,63,24,666,48,13,4,3,12,4,5,7,13,113,6,0,0,0,3,0,0,0,0,11,1513,1486,1324,1148,1084,899,727,1326,154,9654
LGA36910,75,85,766,851,304,1534,88,1080,50,4830,348,733,1500,1079,834,926,316,1089,68,6892,1383,3085,2768,1569,1871,1017,928,1617,159,14394,1833,3163,2141,1451,2031,931,981,1460,163,14166,2287,3219,1901,1610,2362,981,1229,1706,186,15479,1825,2403,1353,1111,1732,804,1057,1317,156,11769,859,537,293,225,346,215,267,356,78,3167,215,38,25,17,19,19,17,41,41,430,30,0,7,3,4,3,3,3,10,58,8856,13270,10756,7914,9501,6435,4886,8661,910,71188
LGA36950,0,3,8,15,3,18,0,8,4,52,6,8,20,26,23,12,3,20,8,116,36,87,44,59,60,16,8,33,6,353,40,71,33,53,55,8,4,39,12,322,40,57,27,40,49,7,10,31,3,262,29,56,34,34,20,4,7,20,4,217,8,9,3,0,4,3,6,3,3,44,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,161,300,171,228,216,67,37,157,45,1379
LGA36960,0,3,3,3,3,6,0,3,3,25,0,26,11,18,12,13,0,14,6,99,16,51,31,46,32,21,8,33,13,242,33,44,30,37,33,14,4,38,13,236,21,40,24,46,35,3,6,37,3,208,8,39,20,21,16,6,0,19,7,137,0,7,3,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,207,113,170,128,64,14,159,46,974
LGA37010,65,98,611,1199,291,2112,176,1080,69,5693,419,1110,1821,2663,1014,1485,566,1016,141,10222,1621,4573,3737,3030,2382,1362,1373,1433,274,19779,2203,4112,2816,2154,2693,1146,1425,1434,296,18282,2327,3570,2317,2195,2941,1194,1514,1615,235,17905,1403,2317,1498,1257,1947,844,1186,1340,160,11951,283,458,273,209,361,186,240,313,40,2358,32,31,29,14,20,18,20,34,20,223,3,3,0,0,8,0,0,4,4,32,8364,16269,13093,12719,11662,8349,6504,8261,1244,86449
LGA37300,0,0,28,7,4,36,0,23,3,94,3,15,66,14,13,10,25,16,3,157,23,105,161,55,46,12,142,26,7,579,43,90,134,33,51,13,144,30,7,548,48,63,104,44,56,14,133,36,3,504,28,22,45,13,23,13,75,26,0,237,3,5,3,6,0,0,3,8,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,150,300,542,176,195,93,517,162,25,2152
LGA37310,29,20,176,124,54,303,23,208,11,934,70,139,332,120,124,145,105,202,17,1256,353,467,600,213,330,164,270,377,43,2812,542,418,499,261,376,187,321,349,42,2990,663,350,387,259,415,195,367,400,38,3074,642,212,258,160,242,146,283,307,36,2285,385,44,58,33,72,42,81,105,32,850,118,4,12,6,8,5,8,15,7,184,16,0,0,0,0,0,0,3,5,28,2815,1653,2322,1182,1615,1173,1460,1971,231,14418
LGA37340,7,9,135,100,18,301,33,177,17,800,94,100,294,284,82,157,68,344,20,1441,365,459,745,460,330,237,317,614,38,3571,469,442,602,319,391,213,427,382,36,3280,526,380,470,308,362,263,465,463,58,3287,447,291,327,203,286,200,350,398,52,2553,176,77,59,36,62,56,82,73,10,640,39,0,12,5,15,0,4,10,5,93,10,0,0,0,0,3,0,0,0,13,2127,1761,2651,1719,1547,1436,1748,2460,240,15681
LGA37400,3,0,9,7,0,3,0,3,0,23,4,6,6,4,7,6,0,12,0,47,22,7,24,9,7,13,8,19,3,109,30,8,10,11,3,3,14,15,0,88,42,4,17,16,14,4,13,12,3,127,56,12,12,7,11,3,10,16,3,123,18,3,5,0,0,0,0,8,3,41,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,172,45,73,50,47,28,48,86,11,572
LGA37550,0,0,0,3,3,3,0,0,0,12,0,0,0,4,0,0,3,5,3,17,5,6,0,12,4,0,0,9,3,39,6,3,3,11,10,3,0,3,0,38,0,3,0,7,3,5,4,10,4,46,7,8,0,8,0,0,3,3,0,30,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,15,60,22,10,9,35,11,193
LGA37570,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,3,0,4,0,0,0,0,0,14,3,0,0,3,4,0,0,0,0,14,0,4,0,3,0,0,3,4,0,15,0,3,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,17,9,0,7,14,0,64
LGA37600,0,0,0,0,3,0,0,0,3,13,0,4,10,18,4,0,0,5,3,43,4,13,6,23,6,4,5,13,5,87,9,14,10,17,7,0,3,18,3,75,12,18,9,17,11,0,0,12,4,86,4,6,0,10,0,0,4,3,5,39,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,60,35,93,42,8,10,50,25,343
LGA39499,11,0,16,20,8,25,3,30,0,103,25,25,39,86,22,39,21,207,7,480,67,164,133,137,59,44,70,310,27,1010,37,84,79,34,37,21,64,88,21,470,49,82,69,41,47,28,70,110,17,509,68,71,53,27,51,25,47,75,8,430,15,12,0,3,0,8,19,4,9,76,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,264,446,392,349,226,182,300,825,97,3087
LGA39799,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,9,0,0,0,0,3,0,0,0,0,8,0,3,3,0,0,3,0,0,0,11,5,4,3,0,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,0,7,7,0,6,4,60
