Title,Address,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Website
Acacia Ridge Community Centre,21 Hanify St,,ACACIA  RIDGE,4110,-27.579754,153.019768,07 3277 4893,https://belong.org.au/
Annerley Community Service,26 Devon Street,,YERONGA,4104,-27.51684,153.01617,0488 084 633,https://communityplus.org.au/annerley-community-service/
Bay Islands Community Services,55 Jackson Rd,,RUSSELL ISLAND,4184,-27.658954,153.371791,07 3409 1177,https://bics.org.au/
Beaudesert Community Centre,44 Tina St,,BEAUDESERT,4285,-27.988909,153.001686,07 5541 4216,http://www.beaucare.org.au/community-services.html
Beenleigh Neighbourhood Centre,10 James St,,BEENLEIGH,4207,-27.7172417,153.2009612,07 3287 2840,http://beenleigh.org.au/
Benarrawa Community Development Association,79 Waratah Ave,,GRACEVILLE,4075,-27.518651,152.985055,07 3379 9925,https://www.facebook.com/Benarrawa/
Better Together Community Support,38 Mabel Street,,ATHERTON,4883,-17.26653,145.477406,07 4091 3850,http://www.cst.org.au/
Blackall Neighbourhood Centre,6 Coronation Drive,,BLACKALL,4472,-24.4246065,145.4648936,07 4621 6600,http://www.btrc.qld.gov.au/blackall-neighbourhood-centre
Boulia Community Support Service,Lot 606 Moonah St,,BOULIA,4829,-22.908359,139.909389,07 4746 3700,https://www.facebook.com/bouliacommunitysupportservices/
Bowen Neighbourhood Centre,20 Williams St,,BOWEN,4805,-20.012083,148.248102,07 4786 2111,http://bowenneighbourhoodcentre.org.au/
Bribie Island Neighbourhood Centre,9 Verdoni St,,BELLARA,4507,-27.064283,153.153121,07 3408 8440,
Brilla Brilla Centre (Community Support Service),1 Violet St,,HEALY,4825,-20.739235,139.494793,07 4743 7671,
Bundaberg and District Neighbourhood Centre,111 Targo St,,BUNDABERG SOUTH,4670,-24.87489,152.353649,07 4153 1614,http://www.kenalwynbnc.org.au/
Burdekin Community Association Community Support Service,130 Queen St,The Support Centre - Old National Bank Building,AYR,4807,-19.575358,147.406302,07 4783 3744,http://www.burdekincommunityassociation.org.au/
Burdekin Neighbourhood Centre Association,40 Chippendale St,,AYR,4807,-19.567064,147.411513,07 4783 4243,http://thebnc.org.au/
Caboolture Neighbourhood Centre,9 George St,,CABOOLTURE,4510,-27.083784,152.94914,07 5428 1404,http://www.caboolturenhc.com.au/
Caloundra Community Centre,58a Queen St,,CALOUNDRA,4551,-26.794403,153.130271,07 5491 4000,https://www.caloundracommunitycentre.org/
Cannon Hill Community Centre,18 Lang St,,CANNON HILL,4170,-27.468426,153.080048,07 3517 2424,https://www.ymcabrisbane.org/services/community-centres/cannon-hill
Capella Tieri Middlemount Community Support Network,26 Talagai Ave,,TIERI,4709,-23.03484,148.34229,07 4984 8349,
Care Balonne Community Support Service,84-86 Victoria St,,ST GEORGE,4487,-28.035219,148.583589,07 4625 5450,https://www.carebalonne.com/
Care Goondiwindi Association,111 Callandoon,,GOONDIWINDI,4390,-28.54631,150.31343,07 4670 0700,https://caregoondiwindi.org.au/
Centacare Family and Relationship Services  Kingaroy,15 Albert St,,KINGAROY,4610,-26.536998,151.840948,07 4162 5439,https://centacare.com/location/centacare-family-and-relationship-services-kingaroy/
Charleville Neighbourhood Centre,114-118  Alfred St,,CHARLEVILLE,4470,-26.400514,146.2415615,07 4654 1307,https://neighbourhoodcentre.wixsite.com/cdcsai
Charters Towers Neighbourhood Centre,3 Powell Lane,,LISSNER,4820,-20.07757,146.257649,07 4787 4797,https://www.prospect.org.au/
Childers Neighbourhood Centre,69 Churchill St,,CHILDERS,4660,-25.236133,152.277531,07 4130 4690,https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/childers-neighbourhood-centre
Chinchilla Community Centre,71 Middle St,,CHINCHILLA,4413,-26.7428658,150.6271319,07 4662 8528,https://www.chinchillacommunitycentre.org/
Cloncurry Neighbourhood Centre,57 Sheaffe St,,CLONCURRY,4824,-20.706394,140.505009,1300 672 273,https://www.centacarenq.org.au/centres/cloncurry/
CO.AS.IT. Community Services Inc,473 Lutwyche Road,,LUYWYCHE,4010,-27.423892,153.03394,07 3624 6100,http://www.coasit.asn.au/
Coastal Community Development Service,36 Macartney St,,ST LAWRENCE,4707,-22.346026,149.53664,07 4964 5400,
Collinsville Community Association,81 Garrick St,Collinsville Hospital,COLLINSVILLE,4804,-20.5464542,147.8375859,07 4785 5965,https://www.facebook.com/collinsvillecommunityassociation/
Community Support Centre Innisfail,13-17 Donald St,,INNISFAIL,4860,-17.521646,146.024086,07 4043 8400,http://www.csci.org.au/
Cooktown District Community Centre,11 Charles St,,COOKTOWN,4895,-15.480138,145.252896,07 4069 6098,https://www.facebook.com/CooktownDCC/
Crestmead Community Centre,1 Gimlet St,,CRESTMEAD,4132,-27.689197,153.092232,07 3805 4100,https://www.pcyc.org.au/clubs/pcyc-crestmead/
Deception Bay Neighbourhood Centre,D24 Endeavour St,,DECEPTION BAY,4508,-27.184408,153.026318,07 3204 2022,http://www.dbnc.org.au/
Discovery Coast Community Support Service,71 Springs Rd,,AGNES WATER,4677,-24.21153,151.910173,0429 498 666,
Dysart Community Support Group Inc,21 Queen Elizabeth Dve,,DYSART,4745,-22.590945,148.348418,07 4958 2461,https://www.facebook.com/Dysart-Community-Support-Group-298820770889042/
Eagleby Neighbourhood Centre,94-112 Fryar Rd,,EAGLEBY,4207,-27.705799,153.211944,07 3151 6132,https://www.wmq.org.au/youth-and-parenting-support/eagleby-neighbourhood-centre
East Brisbane Community Centre,538 Vulture St East,,EAST BRISBANE,4169,-27.485346,153.043169,07 3896 1300,http://ebcc.com.au/
East Creek Community Centre,43 Kitchener St,,EAST TOOWOOMBA,4350,-27.568872,151.963185,07 4639 2755,http://eastcreek.com.au/
ECHO Neighbourhood House,11-15 Eacham Place,,MALANDA,4885,-17.354556,145.592632,07 4096 6634,https://www.echomalanda.org.au/
Elorac Place Community Centre,11a Southampton Rd,,ELLEN GROVE,4078,-27.614864,152.938346,07 3271 3592,https://www.wmq.org.au/youth-and-parenting-support/elorac-place-community-centre
Emerald Neighbourhood Centre,17 Yamala St,,EMERALD,4720,-23.522219,148.159981,07 4982 1696,https://www.emeraldneighbourhoodcentre.org.au/
Fassifern Community Centre,4 Little High St,,BOONAH,4310,-27.99778,152.68218,07 5463 2966,https://carinity.org.au/our-services/youth-families/community-centre-meeting-spaces/fassifern-community-centre/
Gailes Community House,30 Karina St,,GAILES,4300,-27.610353,152.919395,07 3879 3004,http://www.gailescommunityhouse.com.au/
Garbutt Community Centre,15 Lonerganne St,,GARBUTT,4814,-19.263584,146.782142,07 4779 7268,https://communitygro.org.au/our-community/garbutt-community-centre/
George Street Neighbourhood Hub,4 George St,,MACKAY,4740,-21.150644,149.183749,07 4957 2626,http://tnhub.org.au/
Gin Gin Neighbourhood Centre,4 Dear St,,GIN GIN,4671,-24.989737,151.953643,07 4130 4630,https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/gin-gin-neighbourhood-centre
Gladstone Community and Neighbourhood Centre,1 Pengelly St,,GLADSTONE,4680,-23.8697,151.25126,07 4976 6300,https://conversations.gladstone.qld.gov.au/virtual-neighbourhood-centre
Goodna Neighbourhood House,33 Queen St,,GOODNA,4300,-27.611938,152.896829,07 3818 1648,https://www.facebook.com/goodnanh/
Graham House Community Centre,21 Taylor St East,,MURGON,4605,-26.24679,151.942943,07 4169 8400,http://grahamhouse.org.au/
Granite Belt Neighbourhood Place,8 Corundum St,,STANTHORPE,4380,-28.652252,151.935623,07 4681 3777,https://mysd.com.au/cds/
Gympie Community Place,18 Excelsior Rd,,GYMPIE,4570,-26.19662,152.66654,07 5482 1147,https://www.gcp.org.au/
Hambledon House Community Centre,177 Bruce Hwy,,EDMONTON,4869,-17.0171379,145.7436809,07 4037 2874,https://hambledonhouse.com.au/
Harlaxton Neighbourhood Centre,17d Coonan St,,HARLAXTON,4350,-27.526215,151.955924,07 4639 2868,https://harlaxtonnc.wixsite.com/website
Hervey Bay Neighbourhood Centre,22-36 Charles St,,PIALBA,4655,-25.281612,152.837059,07 4194 3000,https://www.hbnc.com.au/
Hinchinbrook Community Support Centre,71 Townsville Rd,,INGHAM,4850,-18.652794,146.153565,07 4776 1822,http://www.hcsc.org.au/
Hinterland Community Development Worker Program,58 Queen St,,CALOUNDRA,4551,-26.7944286,153.1303494,07 5491 4000,https://www.caloundracommunitycentre.org/hinterland-community-development-program
Hub Neighbourhood Centre Inala,79 Poinsettia St,,INALA,4077,-27.5980503,152.9655576,07 3372 3770,https://www.hubcommunity.org.au/
Inala Community House,20 Skylark St,,INALA,4077,-27.59931,152.98205,07 3372 1711,http://www.ich.org.au/
Kallangur Neighbourhood Centre,51 Marsden Rd,,KALLANGUR,4503,-27.24968,152.98226,07 3465 3200,https://www.facebook.com/KallangurNeigbourhoodCentre
Kingston East Neighbourhood Group,177-185 Meakin Rd,,SLACKS CREEK,4127,-27.646556,153.136227,07 3808 1684,http://www.keng.org.au/
Kuranda Neighbourhood Centre,6 Rob Veivers Dve,,KURANDA,4881,-16.820124,145.633727,07 4093 8933,http://kurandanc.com/
Kyabra Community Centre,2a Kyabra St,,RUNCORN,4113,-27.610107,153.069668,07 3373 9499,http://www.kyabra.org/
Laidley Community Centre,13 Mary St,,LAIDLEY,4341,-27.63905,152.393098,07 5465 1889,https://laidleycc.org.au/
Leichhardt One Mile Community Centre,1-17 Denman St,,LEICHHARDT,4305,-27.626333,152.741312,07 3812 1270,http://lcginc.org.au/
Livingstone Shire Council - Community Centre,80 John St,,YEPPOON,4703,-23.130886,150.740976,07 4913 3840,http://www.livingstone.qld.gov.au/communitycentre
Lockyer Community Centre,14 Crescent St,,GATTON,4343,-27.554836,152.276773,07 5462 3355,https://www.lockyercommunitycentre.org.au/
Logan East Community Neighbourhood Centre,53-57 Cinderella Dve,,SPRINGWOOD,4127,-27.613262,153.129064,07 3808 4529,http://lecna.org.au/
Maleny Neighbourhood Centre,17 Bicentenary Lane,,MALENY,4552,-26.7595143,152.8497524,07 5499 9345,http://www.malenync.org.au/
Manoora Community Centre,29 Marchant St,,MANOORA,4870,-16.920636,145.735572,07 3367 4705,https://www.facebook.com/ManooraCC/
Maranoa Community Support Service,57 Bungil St,,ROMA,4455,-26.5687735,148.7880766,07 4624 0808,https://www.maranoa.qld.gov.au/
Mareeba Community Centre,39b Byrnes St,,MAREEBA,4880,-16.988211,145.42152,07 4092 1948,http://www.mccinc.org.au/
Marlin Coast Neighbourhood Centre,205 Reed Rd,,TRINITY PARK,4879,-16.799198,145.708848,07 4055 6440,http://www.mcnc.org.au/
Maroochy Neighbourhood Centre,2 Fifth Ave,,MAROOCHYDORE,4558,-26.657007,153.100977,07 5443 6696,http://maroochync.org.au/
Maryborough Neighbourhood Centre,25 Ellena St,,MARYBOROUGH,4650,-25.5415935,152.7037512,07 4121 2141,http://www.maryboroughneighbourhoodcentre.org/
Millmerran Shire Community Support Service,32 Campbell St,,MILLMERRAN,4357,-27.876612,151.269818,07 4695 1829,
Monto Neighbourhood Centre,7 Huxley St,,MONTO,4630,-24.864151,151.128742,07 4994 2508,https://www.qld.livebetter.org.au/monto-services
Moranbah Youth and Community Centre,2 Appleton Street,,MORANBAH,4744,-22.000528,148.050091,07 4941 5164,https://www.mdssmoranbah.com.au/neighborhood-centre-program
Mossman Community Centre,20 Mill St,,MOSSMAN,4873,-16.458658,145.375632,07 4098 2836,http://www.mossmansupportservices.org.au/
Mt Gravatt Community Centre,1693 Logan Rd,,UPPER MOUNT GRAVATT,4122,-27.548287,153.079927,07 3343 9833,https://www.mgcci.org.au/
Mt Isa Neighbourhood Centre,72 Marian St,,MT ISA,4825,-20.725639,139.499051,07 4743 4506,https://www.facebook.com/mountisaneighbourhoodcentre/
Multilink Community Services - Neighbourhood Centre Program,38 Blackwood Rd,Blackwood Arcade,LOGAN CENTRAL,4114,-27.637016,153.103887,07 3808 4463,http://www.multilink.org.au/project/neighbourhood-centre-program/
Murilla Community Centre,73a Murilla St,,MILES,4415,-26.659166,150.186183,07 4627 2027,https://www.mccm.org.au/
Nambour Community Centre,2 Shearer St,,NAMBOUR,4560,-26.628044,152.962897,07 5441 4724,http://www.nambourcc.org/
Nerang Neighbourhood Centre,29 Martin St,,NERANG,4211,-27.988715,153.333162,07 5578 2457,http://nncinc.com.au/
New Farm Neighbourhood Centre,967 Brunswick St,,NEW FARM,4005,-27.469796,153.04897,07 3358 5600,http://www.newfarmneighbourhood.org/
Normanton Neighbourhood and Community Centre,46 Dutton St,,NORMANTON,4890,-17.67440,141.07598,07 4714 9030,
North Burnett Community Service Neighbourhood Centre,69 Stuart-Russell St,,MUNDUBBERA,4626,-25.586609,151.288391,07 4165 4690,https://www.nbcs.org.au
North Townsville Community Hub,52 Palm Dve,,DEERAGUN,4818,-19.2452634,146.674211,07 4751 6511,https://notchdeeragun.weebly.com/
North West Community Hub,180 Jubilee Tce,,BARDON,4065,-27.456749,152.986425,07 3198 4410,https://communify.org.au/neighbourhood-centre-program/#bardon
Northern Peninsula Area Family and Community Services,255 Adidi St,,BAMAGA,4876,-10.8888745,142.3879775,07 4212 2000,http://www.npaws.com.au/
Nundah Neighbourhood Centre Program,14 Station St,,NUNDAH,4012,-27.401302,153.060492,07 3260 6820,https://northsideconnect.org.au/neighbourhood-centre/
Palm Beach Neighbourhood Centre,16 Third Ave,,PALM BEACH,4221,-28.123819,153.473683,07 5598 1505,http://www.palmbeachnc.org.au/
Paroo Community Support Service,51 Stockyard St,,CUNNAMULLA,4490,-28.071215,145.681961,07 4655 8400,
Picabeen Community Centre,22 Hoben St,,MITCHELTON,4053,-27.4137368,152.9721397,07 3354 2555,http://www.picabeen.org.au/
Pine Rivers Neighbourhood Centre,865 Gympie Rd,,LAWNTON,4501,-27.278452,152.982358,07 3889 0063,https://encircle.org.au/pine-rivers-neighbourhood-centre/
Pomona and District Community House,1 Memorial Ave,,POMONA,4568,-26.365622,152.85543,07 5485 2427,https://www.pomonacommunityhouse.com.au/
Port Douglas Neighbourhood Centre,6-8 Mowbray St,,PORT DOUGLAS,4877,-16.484009,145.463355,07 4099 5518,https://www.portdouglascommunityservicenetwork.org.au/
Proserpine Community Centre,36 Gardenia St,,PROSERPINE,4800,-20.400254,148.583882,07 4945 5915,https://www.facebook.com/Proserpine-Community-Centre-158843667528276/
Ravenshoe Community Centre,3 Bolton St,,RAVENSHOE,4888,-17.61335,145.480595,07 4097 6726,http://www.ravenshoecommunitycentre.org.au/
Redcliffe Neighbourhood Centre,1 Lamington Dve,,REDCLIFFE,4020,-27.227152,153.108415,07 3284 3081,https://encircle.org.au/redcliffe-neighbourhood-centre/
Redland Community Centre,29 Loraine St,,CAPALABA,4157,-27.522451,153.1923,07 3245 2117,http://redlandcommunitycentre.org/
Riverview Community Centre,1/28 Mitchell St,,RIVERVIEW,4303,-27.598989,152.846904,07 3816 2111,https://www.facebook.com/RiverviewCommunityCentre
Rollingstone and District Community Association,44 Community Cres,,BALGAL BEACH,4816,-19.044413,146.408157,07 4770 7855,https://www.rollingstonecommunityassociation.com/
Rosewood Community Centre,19 School St,,ROSEWOOD,4340,-27.643911,152.594295,07 5464 1544,https://radsc.org.au/
Sandgate and Bracken Ridge Action Group,153 Rainbow St,,SANDGATE,4017,-27.322436,153.073428,07 3869 3244,http://www.sandbag.org.au/
Sarina Neighbourhood Centre,65 Broad St,,SARINA,4737,-21.421322,149.216133,07 4961 9290 / 4961 9283,https://www.mackay.qld.gov.au/facilities/spaces/sarina_neighbourhood_centre
Sherwood Neighbourhood Centre,38 Thallon St,,SHERWOOD,4075,-27.53402,152.981098,07 3379 6963,http://www.sherwoodnc.org.au/
Somerset Region Neighbourhood Centre,82 Ipswich St,,ESK,4312,-27.2418128,152.4233689,07 5424 4000,
St David's Neighbourhood Centre,68 Orange Grove Rd,,COOPERS PLAINS,4108,-27.56651,153.0389039,07 3274 3240,http://www.stdavidsnc.org.au/
Studio Village Community Centre,87 Village Way,,OXENFORD,4210,-27.919303,153.316874,07 5529 8253,https://www.studiovillage.com.au/
Tara Neighbourhood Centre,49 Day St,,TARA,4421,-27.276317,150.456515,07 4665 3508,http://www.taranc.com.au/
The Community Place,20 Clark St,,KALINGA,4030,-27.411715,153.045996,07 3857 1152,http://www.thecommunityplace.com.au/
Thursday Island Neighbourhood Centre,156 Douglas St,,THURSDAY ISLAND,4875,-10.58674,142.21236,07 4069 1663,
Tully Support Centre,54 Bryant St,,TULLY,4854,-17.937042,145.923059,07 4068 1004,https://tullysupportcentre.com.au/
UnitingCare Community (Mooroobool Community Support Service),98 Birch St,,MANUNDA,4870,-16.9266331,145.742739,07 4032 6800,
Upper Ross Community Centre,43 Allambie Lane,,RASMUSSEN,4815,-19.3641818,146.726996,07 4774 0144,https://communitygro.org.au/our-community/upper-ross-community-centre/
Varsity Lakes Community Resource Centre,20-28 Mattocks Rd,,VARSITY LAKES,4227,-28.097741,153.419423,07 5593 7006,http://varsitylakes.org.au/
Vietnamese Community in Australia (Qld Chapter),2709 Ipswich Rd,,DARRA,4076,-27.572461,152.956579,07 3375 6036,http://www.vcaqld.org.au/index.php/en/joomlaorg
Weipa Community Care Association,Lot 1 Hibberd Dve,,ROCKY POINT,4874,-12.623198,141.87729,07 4069 9272,https://www.facebook.com/weipa.care/
West End Community House,4 Norfolk Rd,,SOUTH BRISBANE,4101,-27.476035,153.012364,07 3217 2333,http://communityplus.org.au/west/
Whitsunday Neighbourhood Centre,Lot 2 Hazelwood Cres,,CANNONVALE,4802,-20.279317,148.698354,07 4946 7850,https://www.whitnc.org.au/
Wilsonton Heights Neighbourhood Centre,14-16 Wine Dve,,WILSONTON HEIGHTS,4350,-27.531383,151.930873,07 4634 7672,https://heightscommunitycentre.wordpress.com/
Winton Neighbourhood Centre,75 Elderslie St,,WINTON,4735,-22.39047,143.03651,07 4657 2688,
Wynnum Neighbourhood and Community Centre,77 Charlotte St,,WYNNUM,4178,-27.443496,153.171789,07 3253 1700,
Yeronga Community Centre,26 Devon St,,Yeronga,4104,-27.51676,153.0167,07 3848 2285,http://communityplus.org.au/yeronga/
Zillmere Community Centre,54 Handford Rd,,ZILLMERE,4034,-27.357599,153.038255,07 3865 2880,http://www.necsg.org.au/
